AccountID,AnniversaryDate
1,1588559322
2,1604119691
3,991369702
4,1354411382
5,1395241719
6,1595268073
7,1095980377
8,1622112508
9,1498113066
10,1406985741
11,1247743357
12,1194990463
13,1162140617
14,1600541566
15,1364099890
16,1116959266
17,1255603751
18,1376452446
19,1646013582
20,1148572119
21,1434350685
22,1329094038
23,1594610931
24,1352951372
25,956801593
26,1282112081
27,1525606409
28,1020455751
29,1577718422
30,1484204610
31,1030940741
32,1510686720
33,1581244993
34,1619026069
35,1237901952
36,1552856477
37,1468740734
38,1088036116
39,1598341113
40,1513906196
41,1401770833
42,1028125593
43,984456527
44,1387250268
45,1454641453
46,1553307342
47,1405795342
48,1279344251
49,1038478100
50,1143748298
51,1266303076
52,1564297939
53,1544941184
54,1500650426
55,1327785338
56,1003253525
57,1513207655
58,1125515117
59,1050908695
60,1494362422
61,1048010154
62,1539481258
63,1553335295
64,1334336939
65,1133482431
66,1439996336
67,1392073007
68,1269704764
69,1284243409
70,1397612816
71,1138764237
72,1186025431
73,1172400767
74,1422398283
75,1025176481
76,1071066899
77,1610563844
78,1506359797
79,1039322911
80,1366127555
81,1600380733
82,1360091181
83,1366985977
84,1049735358
85,1618789249
86,1216731429
87,1410560806
88,957963043
89,1259019816
90,1327340291
91,1481571547
92,950579141
93,1025139692
94,990326652
95,1147065466
96,1620283531
97,1563272448
98,968722211
99,1008188797
100,1330537305
101,1443075933
102,1376371582
103,1207400529
104,1305515242
105,1198756870
106,1544145314
107,1626732339
108,1087234436
109,1323447347
110,1457666729
111,1539141725
112,1426150462
113,946912958
114,1276260269
115,956690548
116,1418981641
117,1237001740
118,1468281158
119,1143006502
120,1439588970
121,1522312014
122,1468500330
123,1604222277
124,1392314565
125,1608093470
126,1408177843
127,1149211851
128,1604450412
129,958854631
130,1002965033
131,1510085915
132,1500352347
133,1621102413
134,1383446116
135,1525608150
136,1092184588
137,1397365851
138,1572751028
139,1377774348
140,1249611955
141,1298145083
142,1314564466
143,1383399698
144,1425853650
145,1632530591
146,1606071573
147,1491275498
148,1184559749
149,1540767897
150,1152387610
151,1432028609
152,1605850424
153,1187935913
154,1531226224
155,1400493247
156,1475680542
157,1609917178
158,1405102485
159,1159294578
160,999283337
161,1080034963
162,1384196576
163,1343669532
164,1102575919
165,1056605806
166,1263536667
167,1640703835
168,1302620858
169,1348048649
170,1334350966
171,1435918695
172,1640511787
173,1552602502
174,1624136572
175,1005430645
176,1281828191
177,1170655294
178,1569454324
179,1513311365
180,1113114253
181,1033821983
182,1517087434
183,1020970882
184,1315582710
185,1186373166
186,962293649
187,1532570088
188,1368531546
189,994403034
190,966089826
191,1270536872
192,1123695865
193,979444037
194,1036618390
195,1019337183
196,1036014367
197,1301201217
198,1238236308
199,1288111176
200,1250097517
201,1141563650
202,1581008596
203,1324985174
204,1177889973
205,1581717728
206,1226456049
207,970100179
208,1233974260
209,1385449831
210,1605774913
211,1275449204
212,1594306675
213,1621548335
214,1205480944
215,1330039059
216,1443991850
217,1310568784
218,1068363681
219,1276242764
220,1368177520
221,1280420306
222,1447925770
223,1030465671
224,1140951493
225,1467285534
226,1551426526
227,1126016419
228,1176126066
229,1295641879
230,1312947726
231,950800891
232,952657542
233,1526154676
234,1032945733
235,1457086514
236,1120066214
237,1342237515
238,1130508613
239,1353936103
240,1053160760
241,1358072454
242,1562877377
243,1542214743
244,1192742950
245,1247897179
246,1448624913
247,1561570211
248,969408192
249,1110785440
250,1300374014
251,1419926982
252,1168954737
253,1056878692
254,1360652760
255,1083925440
256,1390424280
257,1644840966
258,1568030664
259,1463202194
260,1434456585
261,965641514
262,1312415609
263,1588793226
264,1316423307
265,1305893039
266,1633383828
267,1617176489
268,949735090
269,956355390
270,1554711910
271,1449742256
272,1243462646
273,983104771
274,1082938837
275,1122546846
276,980820415
277,1273677054
278,1121871330
279,1540336979
280,1515006769
281,1233688840
282,1022863393
283,1638627590
284,1571535234
